2,Gebäude 11 Raum 243,Gebäude 46 Raum 267,Gebäude 48 Raum 208,Gebäude 48 Raum 210,Gebäude 48 Raum 438,Gebäude 48 Raum 538,Gebäude 48 Raum 582
Donnerstag 10:00,,AK bundesweites Semesterticket,,,,,
Donnerstag 10:00/Donnerstag 11:00,,,,,AK Arbeitszeiterfassung,,
Donnerstag 10:00/Donnerstag 9:00,,,,,,AK KoMa-Homepage-Inhalt,
Donnerstag 11:00,,,AK Angabe von Symptomen bei krankheitsbedingten Prüfungsabmeldungen,,,AK AK AK AK-Plan Programm,AK Kartenspielwerbung
Donnerstag 14:00/Donnerstag 15:00,,AK Klausurtermine,AK Awarenessarbeit,,,AK WissZeitVG,
Donnerstag 16:00/Donnerstag 17:00,,AK studentische Armut,AK Spiel und Spaß,AK Nachteilsausgleiche,,,AK Automatische Korrekturen
Donnerstag 8:00,,AK KI-Anwendungen im Studium,,,,,AK Gendergerechte Toiletten
Donnerstag 8:00/Donnerstag 9:00,,,AK Lehrkraftmangel,,AK TVStud,,
Donnerstag 9:00,,,,AK Nachhaltigkeitsmodule,,,
Freitag 14:00/Freitag 15:00,AK Mental Health,,,AK Studienwerbung,,AK Online-Wahl,
Freitag 16:00,,,,AK Plenumsleitung,,AK Ethikmodule,AK Adresslistenaktualisierung
Freitag 17:00,,,AK Datenschutz bei externer Software,,,,
Freitag 17:00/Freitag 18:00,,,,AK Lehramt,,,
Freitag 18:00,,,AK Hygiene bei Veranstaltungen,,AK IT-Infrastruktur,,
Samstag 10:00,,,,AK Mentoring,,,AK Prüfungsversuche
Samstag 11:00,,AK Spendenveranstaltungen,,,,AK Orga,
Samstag 14:00/Samstag 15:00,,,AK Geschlechtergleichstellung,AK Meta,,,AK Übungsleitungen
Samstag 16:00,,AK Budget-Fahrten,,AK Social Media,,,
Samstag 16:00/Samstag 17:00,,,,,AK Berufungshandbuch,,
Samstag 17:00,,,,,,,AK Veranstaltungen
Samstag 18:00,,,AK Umgang mit Fachschaftsbeef,,,,AK Evaluation
Samstag 8:00,,AKkreditierung,,,AK Kurier,AK Zulassung zu Studiengängen,
Samstag 9:00,,,AK Koma-Büro,AK Datenschutz bei Fachschaftsarbeit,,AK Vereine von Fachschaften und Nachwuchs in Vereinen,
